IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
172.20.10.1,2.980ms,2.800ms,2.496ms,www.linkedin.com,25-Nov,2,2,NA,NA
107.243.2.135,36.905ms,*,43.401ms,www.linkedin.com,25-Nov,3,2,NA,NA
32.141.192.2,49.301ms,36.209ms,42.559ms,www.linkedin.com,25-Nov,10,2,7018,"ATT-INTERNET4, US"
172.31.160.1,0.579ms,0.264ms,0.201ms,www.linkedin.com,25-Nov,1,3,NA,NA
172.20.10.1,2.619ms,2.146ms,1.997ms,www.linkedin.com,25-Nov,2,3,NA,NA
107.243.2.135,59.515ms,*,59.896ms,www.linkedin.com,25-Nov,3,3,NA,NA
32.141.192.2,*,133.587ms,57.375ms,www.linkedin.com,25-Nov,10,3,,
172.31.160.1,0.267ms,0.121ms,0.086ms,www.linkedin.com,25-Nov,1,4,NA,NA
172.20.10.1,2.290ms,2.196ms,2.041ms,www.linkedin.com,25-Nov,2,4,NA,NA
107.243.2.135,30.290ms,*,30.868ms,www.linkedin.com,25-Nov,3,4,NA,NA
32.141.192.2,69.514ms,41.011ms,38.814ms,www.linkedin.com,25-Nov,10,4,7018,"ATT-INTERNET4, US"
172.31.160.1,0.201ms,0.225ms,0.201ms,www.linkedin.com,25-Nov,1,5,NA,NA
172.20.10.1,2.044ms,1.796ms,1.602ms,www.linkedin.com,25-Nov,2,5,NA,NA
107.243.2.7,32.616ms,*,47.996ms,www.linkedin.com,25-Nov,3,5,NA,NA
32.141.192.2,53.910ms,41.010ms,42.950ms,www.linkedin.com,25-Nov,10,5,7018,"ATT-INTERNET4, US"
172.31.160.1,0.372ms,0.122ms,0.097ms,www.linkedin.com,25-Nov,1,6,NA,NA
172.20.10.1,2.408ms,2.087ms,2.289ms,www.linkedin.com,25-Nov,2,6,NA,NA
107.243.2.135,31.281ms,*,165.053ms,www.linkedin.com,25-Nov,3,6,NA,NA
32.141.192.2,54.529ms,39.507ms,32.598ms,www.linkedin.com,25-Nov,10,6,7018,"ATT-INTERNET4, US"
172.31.160.1,0.700ms,0.353ms,0.329ms,www.payments.pitt.edu,25-Nov,1,1,NA,NA
172.20.10.1,4.005ms,3.249ms,2.660ms,www.payments.pitt.edu,25-Nov,2,1,NA,NA
107.243.2.7,27.294ms,*,51.816ms,www.payments.pitt.edu,25-Nov,3,1,NA,NA
173.241.128.29,93.033ms,62.367ms,51.810ms,www.payments.pitt.edu,25-Nov,9,1,3257,"GTT-BACKBONE GTT, US"
89.149.136.181,47.697ms,54.900ms,50.862ms,www.payments.pitt.edu,25-Nov,10,1,3257,"GTT-BACKBONE GTT, US"
208.116.221.142,52.840ms,56.320ms,53.068ms,www.payments.pitt.edu,25-Nov,11,1,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,52.847ms,50.766ms,66.348ms,www.payments.pitt.edu,25-Nov,12,1,33154,"DQECOM, US"
64.58.254.49,52.427ms,50.826ms,49.098ms,www.payments.pitt.edu,25-Nov,13,1,33154,"DQECOM, US"
208.103.114.14,59.549ms,54.991ms,55.055ms,www.payments.pitt.edu,25-Nov,14,1,33154,"DQECOM, US"
136.142.2.162,56.276ms,53.432ms,53.013ms,www.payments.pitt.edu,25-Nov,15,1,4130,"UPITT-AS, US"
136.142.253.237,54.990ms,59.968ms,52.852ms,www.payments.pitt.edu,25-Nov,16,1,4130,"UPITT-AS, US"
136.142.156.140,61.110ms,65.776ms,55.323ms,www.payments.pitt.edu,25-Nov,17,1,4130,"UPITT-AS, US"
172.31.160.1,0.264ms,0.141ms,0.182ms,www.payments.pitt.edu,25-Nov,1,2,NA,NA
